,crim,nox,rm,dis,lstat,medv
65,0.03584,0.398,6.29,6.6115,4.67,23.5
66,0.04379,0.398,5.787,6.6115,10.24,19.4
67,0.05789,0.409,5.878,6.498,8.1,22.0
68,0.13554,0.409,5.594,6.498,13.09,17.4
69,0.12816,0.409,5.885,6.498,8.79,20.9
70,0.08826,0.413,6.417,5.2873,6.72,24.2
71,0.15876,0.413,5.961,5.2873,9.88,21.7
72,0.09164,0.413,6.065,5.2873,5.52,22.8
73,0.19539,0.413,6.245,5.2873,7.54,23.4
74,0.07896,0.437,6.273,4.2515,6.78,24.1
75,0.09512,0.437,6.286,4.5026,8.94,21.4
76,0.10153,0.437,6.279,4.0522,11.97,20.0
77,0.08707,0.437,6.14,4.0905,10.27,20.8
78,0.05646,0.437,6.232,5.0141,12.34,21.2
79,0.08387,0.437,5.874,4.5026,9.1,20.3
80,0.04113,0.426,6.727,5.4007,5.29,28.0
81,0.04462,0.426,6.619,5.4007,7.22,23.9
82,0.03659,0.426,6.302,5.4007,6.72,24.8
83,0.03551,0.426,6.167,5.4007,7.51,22.9
84,0.05059,0.449,6.389,4.7794,9.62,23.9
85,0.05735,0.449,6.63,4.4377,6.53,26.6
86,0.05188,0.449,6.015,4.4272,12.86,22.5
87,0.07151,0.449,6.121,3.7476,8.44,22.2
88,0.0566,0.489,7.007,3.4217,5.5,23.6
89,0.05302,0.489,7.079,3.4145,5.7,28.7
90,0.04684,0.489,6.417,3.0923,8.81,22.6
91,0.03932,0.489,6.405,3.0921,8.2,22.0
92,0.04203,0.464,6.442,3.6659,8.16,22.9
93,0.02875,0.464,6.211,3.6659,6.21,25.0
94,0.04294,0.464,6.249,3.615,10.59,20.6
95,0.12204,0.445,6.625,3.4952,6.65,28.4
96,0.11504,0.445,6.163,3.4952,11.34,21.4
97,0.12083,0.445,8.069,3.4952,4.21,38.7
98,0.08187,0.445,7.82,3.4952,3.57,43.8
99,0.0686,0.445,7.416,3.4952,6.19,33.2
100,0.14866,0.52,6.727,2.7778,9.42,27.5
101,0.11432,0.52,6.781,2.8561,7.67,26.5
102,0.22876,0.52,6.405,2.7147,10.63,18.6
103,0.21161,0.52,6.137,2.7147,13.44,19.3
104,0.1396,0.52,6.167,2.421,12.33,20.1
105,0.13262,0.52,5.851,2.1069,16.47,19.5
106,0.1712,0.52,5.836,2.211,18.66,19.5
107,0.13117,0.52,6.127,2.1224,14.09,20.4
108,0.12802,0.52,6.474,2.4329,12.27,19.8
109,0.26363,0.52,6.229,2.5451,15.55,19.4
110,0.10793,0.52,6.195,2.7778,13.0,21.7
111,0.10084,0.547,6.715,2.6775,10.16,22.8
112,0.12329,0.547,5.913,2.3534,16.21,18.8
113,0.22212,0.547,6.092,2.548,17.09,18.7
114,0.14231,0.547,6.254,2.2565,10.45,18.5
115,0.17134,0.547,5.928,2.4631,15.76,18.3
116,0.13158,0.547,6.176,2.7301,12.04,21.2
117,0.15098,0.547,6.021,2.7474,10.3,19.2
118,0.13058,0.547,5.872,2.4775,15.37,20.4
119,0.14476,0.547,5.731,2.7592,13.61,19.3
120,0.06899,0.581,5.87,2.2577,14.37,22.0
121,0.07165,0.581,6.004,2.1974,14.27,20.3
122,0.09299,0.581,5.961,2.0869,17.93,20.5
123,0.15038,0.581,5.856,1.9444,25.41,17.3
124,0.09849,0.581,5.879,2.0063,17.58,18.8
125,0.16902,0.581,5.986,1.9929,14.81,21.4
126,0.38735,0.581,5.613,1.7572,27.26,15.7
127,0.25915,0.624,5.693,1.7883,17.19,16.2
128,0.32543,0.624,6.431,1.8125,15.39,18.0
129,0.88125,0.624,5.637,1.9799,18.34,14.3
130,0.34006,0.624,6.458,2.1185,12.6,19.2
131,1.19294,0.624,6.326,2.271,12.26,19.6
132,0.59005,0.624,6.372,2.3274,11.12,23.0
133,0.32982,0.624,5.822,2.4699,15.03,18.4
134,0.97617,0.624,5.757,2.346,17.31,15.6
135,0.55778,0.624,6.335,2.1107,16.96,18.1
136,0.32264,0.624,5.942,1.9669,16.9,17.4
137,0.35233,0.624,6.454,1.8498,14.59,17.1
138,0.2498,0.624,5.857,1.6686,21.32,13.3
139,0.54452,0.624,6.151,1.6687,18.46,17.8
140,0.2909,0.624,6.174,1.6119,24.16,14.0
141,1.62864,0.624,5.019,1.4394,34.41,14.4
142,3.32105,0.871,5.403,1.3216,26.82,13.4
143,4.0974,0.871,5.468,1.4118,26.42,15.6
144,2.77974,0.871,4.903,1.3459,29.29,11.8
145,2.37934,0.871,6.13,1.4191,27.8,13.8
146,2.15505,0.871,5.628,1.5166,16.65,15.6
147,2.36862,0.871,4.926,1.4608,29.53,14.6
148,2.33099,0.871,5.186,1.5296,28.32,17.8
149,2.73397,0.871,5.597,1.5257,21.45,15.4
150,1.6566,0.871,6.122,1.618,14.1,21.5
151,1.49632,0.871,5.404,1.5916,13.28,19.6
152,1.12658,0.871,5.012,1.6102,12.12,15.3
153,2.14918,0.871,5.709,1.6232,15.79,19.4
154,1.41385,0.871,6.129,1.7494,15.12,17.0
155,3.53501,0.871,6.152,1.7455,15.02,15.6
156,2.44668,0.871,5.272,1.7364,16.14,13.1
157,1.22358,0.605,6.943,1.8773,4.59,41.3
158,1.34284,0.605,6.066,1.7573,6.43,24.3
159,1.42502,0.871,6.51,1.7659,7.39,23.3
160,1.27346,0.605,6.25,1.7984,5.5,27.0
161,1.46336,0.605,7.489,1.9709,1.73,50.0
162,1.83377,0.605,7.802,2.0407,1.92,50.0
163,1.51902,0.605,8.375,2.162,3.32,50.0
164,2.24236,0.605,5.854,2.422,11.64,22.7
165,2.924,0.605,6.101,2.2834,9.81,25.0
166,2.01019,0.605,7.929,2.0459,3.7,50.0
167,1.80028,0.605,5.877,2.4259,12.14,23.8
168,2.3004,0.605,6.319,2.1,11.1,23.8
169,2.44953,0.605,6.402,2.2625,11.32,22.3
170,1.20742,0.605,5.875,2.4259,14.43,17.4
171,2.3139,0.605,5.88,2.3887,12.03,19.1
172,0.13914,0.51,5.572,2.5961,14.69,23.1
173,0.09178,0.51,6.416,2.6463,9.04,23.6
174,0.08447,0.51,5.859,2.7019,9.64,22.6
175,0.06664,0.51,6.546,3.1323,5.33,29.4
176,0.07022,0.51,6.02,3.5549,10.11,23.2
177,0.05425,0.51,6.315,3.3175,6.29,24.6
178,0.06642,0.51,6.86,2.9153,6.92,29.9
179,0.0578,0.488,6.98,2.829,5.04,37.2
180,0.06588,0.488,7.765,2.741,7.56,39.8
181,0.06888,0.488,6.144,2.5979,9.45,36.2
182,0.09103,0.488,7.155,2.7006,4.82,37.9
183,0.10008,0.488,6.563,2.847,5.68,32.5
184,0.08308,0.488,5.604,2.9879,13.98,26.4
185,0.06047,0.488,6.153,3.2797,13.15,29.6
186,0.05602,0.488,7.831,3.1992,4.45,50.0
187,0.07875,0.437,6.782,3.7886,6.68,32.0
188,0.12579,0.437,6.556,4.5667,4.56,29.8
189,0.0837,0.437,7.185,4.5667,5.39,34.9
190,0.09068,0.437,6.951,6.4798,5.1,37.0
191,0.06911,0.437,6.739,6.4798,4.69,30.5
192,0.08664,0.437,7.178,6.4798,2.87,36.4
193,0.02187,0.401,6.8,6.2196,5.03,31.1
194,0.01439,0.401,6.604,6.2196,4.38,29.1
195,0.01381,0.422,7.875,5.6484,2.97,50.0
196,0.04011,0.404,7.287,7.309,4.08,33.3
197,0.04666,0.404,7.107,7.309,8.61,30.3
198,0.03768,0.404,7.274,7.309,6.62,34.6
199,0.0315,0.403,6.975,7.6534,4.56,34.9
200,0.01778,0.403,7.135,7.6534,4.45,32.9
201,0.03445,0.415,6.162,6.27,7.43,24.1
202,0.02177,0.415,7.61,6.27,3.11,42.3
203,0.0351,0.4161,7.853,5.118,3.81,48.5
204,0.02009,0.4161,8.034,5.118,2.88,50.0
205,0.13642,0.489,5.891,3.9454,10.87,22.6
206,0.22969,0.489,6.326,4.3549,10.97,24.4
207,0.25199,0.489,5.783,4.3549,18.06,22.5
208,0.13587,0.489,6.064,4.2392,14.66,24.4
209,0.43571,0.489,5.344,3.875,23.09,20.0
210,0.17446,0.489,5.96,3.8771,17.27,21.7
211,0.37578,0.489,5.404,3.665,23.98,19.3
212,0.21719,0.489,5.807,3.6526,16.03,22.4
213,0.14052,0.489,6.375,3.9454,9.38,28.1
214,0.28955,0.489,5.412,3.5875,29.55,23.7
215,0.19802,0.489,6.182,3.9454,9.47,25.0
216,0.0456,0.55,5.888,3.1121,13.51,23.3
217,0.07013,0.55,6.642,3.4211,9.69,28.7
218,0.11069,0.55,5.951,2.8893,17.92,21.5
219,0.11425,0.55,6.373,3.3633,10.5,23.0
220,0.35809,0.507,6.951,2.8617,9.71,26.7
221,0.40771,0.507,6.164,3.048,21.46,21.7
222,0.62356,0.507,6.879,3.2721,9.93,27.5
223,0.6147,0.507,6.618,3.2721,7.6,30.1
224,0.31533,0.504,8.266,2.8944,4.14,44.8
225,0.52693,0.504,8.725,2.8944,4.63,50.0
226,0.38214,0.504,8.04,3.2157,3.13,37.6
227,0.41238,0.504,7.163,3.2157,6.36,31.6
228,0.29819,0.504,7.686,3.3751,3.92,46.7
229,0.44178,0.504,6.552,3.3751,3.76,31.5
230,0.537,0.504,5.981,3.6715,11.65,24.3
231,0.46296,0.504,7.412,3.6715,5.25,31.7
232,0.57529,0.507,8.337,3.8384,2.47,41.7
233,0.33147,0.507,8.247,3.6519,3.95,48.3
234,0.44791,0.507,6.726,3.6519,8.05,29.0
235,0.33045,0.507,6.086,3.6519,10.88,24.0
236,0.52058,0.507,6.631,4.148,9.54,25.1
237,0.51183,0.507,7.358,4.148,4.73,31.5
238,0.08244,0.428,6.481,6.1899,6.36,23.7
239,0.09252,0.428,6.606,6.1899,7.37,23.3
240,0.11329,0.428,6.897,6.3361,11.38,22.0
241,0.10612,0.428,6.095,6.3361,12.4,20.1
242,0.1029,0.428,6.358,7.0355,11.22,22.2
243,0.12757,0.428,6.393,7.0355,5.19,23.7
244,0.20608,0.431,5.593,7.9549,12.5,17.6
245,0.19133,0.431,5.605,7.9549,18.46,18.5
246,0.33983,0.431,6.108,8.0555,9.16,24.3
247,0.19657,0.431,6.226,8.0555,10.15,20.5
248,0.16439,0.431,6.433,7.8265,9.52,24.5
249,0.19073,0.431,6.718,7.8265,6.56,26.2
250,0.1403,0.431,6.487,7.3967,5.9,24.4
251,0.21409,0.431,6.438,7.3967,3.59,24.8
252,0.08221,0.431,6.957,8.9067,3.53,29.6
253,0.36894,0.431,8.259,8.9067,3.54,42.8
254,0.04819,0.392,6.108,9.2203,6.57,21.9
255,0.03548,0.392,5.876,9.2203,9.25,20.9
256,0.01538,0.394,7.454,6.3361,3.11,44.0
257,0.61154,0.647,8.704,1.801,5.12,50.0
258,0.66351,0.647,7.333,1.8946,7.79,36.0
259,0.65665,0.647,6.842,2.0107,6.9,30.1
260,0.54011,0.647,7.203,2.1121,9.59,33.8
261,0.53412,0.647,7.52,2.1398,7.26,43.1
262,0.52014,0.647,8.398,2.2885,5.91,48.8
263,0.82526,0.647,7.327,2.0788,11.25,31.0
264,0.55007,0.647,7.206,1.9301,8.1,36.5
265,0.76162,0.647,5.56,1.9865,10.45,22.8
266,0.7857,0.647,7.014,2.1329,14.79,30.7
267,0.57834,0.575,8.297,2.4216,7.44,50.0
268,0.5405,0.575,7.47,2.872,3.16,43.5
269,0.09065,0.464,5.92,3.9175,13.65,20.7
270,0.29916,0.464,5.856,4.429,13.0,21.1
271,0.16211,0.464,6.24,4.429,6.59,25.2
272,0.1146,0.464,6.538,3.9175,7.73,24.4
273,0.22188,0.464,7.691,4.3665,6.58,35.2
274,0.05644,0.447,6.758,4.0776,3.53,32.4
275,0.09604,0.447,6.854,4.2673,2.98,32.0
276,0.10469,0.447,7.267,4.7872,6.05,33.2
277,0.06127,0.447,6.826,4.8628,4.16,33.1
278,0.07978,0.447,6.482,4.1403,7.19,29.1
279,0.21038,0.4429,6.812,4.1007,4.85,35.1
280,0.03578,0.4429,7.82,4.6947,3.76,45.4
281,0.03705,0.4429,6.968,5.2447,4.59,35.4
282,0.06129,0.4429,7.645,5.2119,3.01,46.0
283,0.01501,0.401,7.923,5.885,3.16,50.0
284,0.00906,0.4,7.088,7.3073,7.85,32.2
285,0.01096,0.389,6.453,7.3073,8.23,22.0
286,0.01965,0.385,6.23,9.0892,12.93,20.1
287,0.03871,0.405,6.209,7.3172,7.14,23.2
288,0.0459,0.405,6.315,7.3172,7.6,22.3
289,0.04297,0.405,6.565,7.3172,9.51,24.8
290,0.03502,0.411,6.861,5.1167,3.33,28.5
291,0.07886,0.411,7.148,5.1167,3.56,37.3
292,0.03615,0.411,6.63,5.1167,4.7,27.9
293,0.08265,0.437,6.127,5.5027,8.58,23.9
294,0.08199,0.437,6.009,5.5027,10.4,21.7
295,0.12932,0.437,6.678,5.9604,6.27,28.6
296,0.05372,0.437,6.549,5.9604,7.39,27.1
297,0.14103,0.437,5.79,6.32,15.84,20.3
298,0.06466,0.4,6.345,7.8278,4.97,22.5
299,0.05561,0.4,7.041,7.8278,4.74,29.0
300,0.04417,0.4,6.871,7.8278,6.07,24.8
301,0.03537,0.433,6.59,5.4917,9.5,22.0
302,0.09266,0.433,6.495,5.4917,8.67,26.4
303,0.1,0.433,6.982,5.4917,4.86,33.1
304,0.05515,0.472,7.236,4.022,6.93,36.1
305,0.05479,0.472,6.616,3.37,8.93,28.4
306,0.07503,0.472,7.42,3.0992,6.47,33.4
307,0.04932,0.472,6.849,3.1827,7.53,28.2
308,0.49298,0.544,6.635,3.3175,4.54,22.8
309,0.3494,0.544,5.972,3.1025,9.97,20.3
310,2.63548,0.544,4.973,2.5194,12.64,16.1
311,0.79041,0.544,6.122,2.6403,5.98,22.1
312,0.26169,0.544,6.023,2.834,11.72,19.4
313,0.26938,0.544,6.266,3.2628,7.9,21.6
314,0.3692,0.544,6.567,3.6023,9.28,23.8
315,0.25356,0.544,5.705,3.945,11.5,16.2
316,0.31827,0.544,5.914,3.9986,18.33,17.8
317,0.24522,0.544,5.782,4.0317,15.94,19.8
318,0.40202,0.544,6.382,3.5325,10.36,23.1
319,0.47547,0.544,6.113,4.0019,12.73,21.0
320,0.1676,0.493,6.426,4.5404,7.2,23.8
321,0.18159,0.493,6.376,4.5404,6.87,23.1
322,0.35114,0.493,6.041,4.7211,7.7,20.4
323,0.28392,0.493,5.708,4.7211,11.74,18.5
324,0.34109,0.493,6.415,4.7211,6.12,25.0
325,0.19186,0.493,6.431,5.4159,5.08,24.6
326,0.30347,0.493,6.312,5.4159,6.15,23.0
327,0.24103,0.493,6.083,5.4159,12.79,22.2
328,0.06617,0.46,5.868,5.2146,9.97,19.3
329,0.06724,0.46,6.333,5.2146,7.34,22.6
330,0.04544,0.46,6.144,5.8736,9.09,19.8
331,0.05023,0.4379,5.706,6.6407,12.43,17.1
332,0.03466,0.4379,6.031,6.6407,7.83,19.4
333,0.05083,0.515,6.316,6.4584,5.68,22.2
334,0.03738,0.515,6.31,6.4584,6.75,20.7
335,0.03961,0.515,6.037,5.9853,8.01,21.1
336,0.03427,0.515,5.869,5.2311,9.8,19.5
337,0.03041,0.515,5.895,5.615,10.56,18.5
338,0.03306,0.515,6.059,4.8122,8.51,20.6
339,0.05497,0.515,5.985,4.8122,9.74,19.0
340,0.06151,0.515,5.968,4.8122,9.29,18.7
341,0.01301,0.442,7.241,7.0379,5.49,32.7
342,0.02498,0.518,6.54,6.2669,8.65,16.5
343,0.02543,0.484,6.696,5.7321,7.18,23.9
344,0.03049,0.484,6.874,6.4654,4.61,31.2
345,0.03113,0.442,6.014,8.0136,10.53,17.5
346,0.06162,0.442,5.898,8.0136,12.67,17.2
347,0.0187,0.429,6.516,8.5353,6.36,23.1
348,0.01501,0.435,6.635,8.344,5.99,24.5
349,0.02899,0.429,6.939,8.7921,5.89,26.6
350,0.06211,0.429,6.49,8.7921,5.98,22.9
351,0.0795,0.411,6.579,10.7103,5.49,24.1
352,0.07244,0.411,5.884,10.7103,7.79,18.6
353,0.01709,0.41,6.728,12.1265,4.5,30.1
354,0.04301,0.413,5.663,10.5857,8.05,18.2
355,0.10659,0.413,5.936,10.5857,5.57,20.6
356,8.98296,0.77,6.212,2.1222,17.6,17.8
357,3.8497,0.77,6.395,2.5052,13.27,21.7
358,5.20177,0.77,6.127,2.7227,11.48,22.7
359,4.26131,0.77,6.112,2.5091,12.67,22.6
360,4.54192,0.77,6.398,2.5182,7.79,25.0
361,3.83684,0.77,6.251,2.2955,14.19,19.9
362,3.67822,0.77,5.362,2.1036,10.19,20.8
363,4.22239,0.77,5.803,1.9047,14.64,16.8
364,3.47428,0.718,8.78,1.9047,5.29,21.9
365,4.55587,0.718,3.561,1.6132,7.12,27.5
366,3.69695,0.718,4.963,1.7523,14.0,21.9
367,13.5222,0.631,3.863,1.5106,13.33,23.1
368,4.89822,0.631,4.97,1.3325,3.26,50.0
369,5.66998,0.631,6.683,1.3567,3.73,50.0
370,6.53876,0.631,7.016,1.2024,2.96,50.0
371,9.2323,0.631,6.216,1.1691,9.53,50.0
372,8.26725,0.668,5.875,1.1296,8.88,50.0
373,11.1081,0.668,4.906,1.1742,34.77,13.8
374,18.4982,0.668,4.138,1.137,37.97,13.8
375,19.6091,0.671,7.313,1.3163,13.44,15.0
376,15.288,0.671,6.649,1.3449,23.24,13.9
377,9.82349,0.671,6.794,1.358,21.24,13.3
378,23.6482,0.671,6.38,1.3861,23.69,13.1
379,17.8667,0.671,6.223,1.3861,21.78,10.2
380,88.9762,0.671,6.968,1.4165,17.21,10.4
381,15.8744,0.671,6.545,1.5192,21.08,10.9
382,9.18702,0.7,5.536,1.5804,23.6,11.3
383,7.99248,0.7,5.52,1.5331,24.56,12.3
384,20.0849,0.7,4.368,1.4395,30.63,8.8
385,16.8118,0.7,5.277,1.4261,30.81,7.2
386,24.3938,0.7,4.652,1.4672,28.28,10.5
387,22.5971,0.7,5.0,1.5184,31.99,7.4
388,14.3337,0.7,4.88,1.5895,30.62,10.2
389,8.15174,0.7,5.39,1.7281,20.85,11.5
390,6.96215,0.7,5.713,1.9265,17.11,15.1
391,5.29305,0.7,6.051,2.1678,18.76,23.2
392,11.5779,0.7,5.036,1.77,25.68,9.7
393,8.64476,0.693,6.193,1.7912,15.17,13.8
394,13.3598,0.693,5.887,1.7821,16.35,12.7
395,8.71675,0.693,6.471,1.7257,17.12,13.1
396,5.87205,0.693,6.405,1.6768,19.37,12.5
397,7.67202,0.693,5.747,1.6334,19.92,8.5
398,38.3518,0.693,5.453,1.4896,30.59,5.0
399,9.91655,0.693,5.852,1.5004,29.97,6.3
400,25.0461,0.693,5.987,1.5888,26.77,5.6
401,14.2362,0.693,6.343,1.5741,20.32,7.2
402,9.59571,0.693,6.404,1.639,20.31,12.1
403,24.8017,0.693,5.349,1.7028,19.77,8.3
404,41.5292,0.693,5.531,1.6074,27.38,8.5
405,67.9208,0.693,5.683,1.4254,22.98,5.0
406,20.7162,0.659,4.138,1.1781,23.34,11.9
407,11.9511,0.659,5.608,1.2852,12.13,27.9
408,7.40389,0.597,5.617,1.4547,26.4,17.2
409,14.4383,0.597,6.852,1.4655,19.78,27.5
410,51.1358,0.597,5.757,1.413,10.11,15.0
411,14.0507,0.597,6.657,1.5275,21.22,17.2
412,18.811,0.597,4.628,1.5539,34.37,17.9
413,28.6558,0.597,5.155,1.5894,20.08,16.3
414,45.7461,0.693,4.519,1.6582,36.98,7.0
415,18.0846,0.679,6.434,1.8347,29.05,7.2
416,10.8342,0.679,6.782,1.8195,25.79,7.5
417,25.9406,0.679,5.304,1.6475,26.64,10.4
418,73.5341,0.679,5.957,1.8026,20.62,8.8
419,11.8123,0.718,6.824,1.794,22.74,8.4
420,11.0874,0.718,6.411,1.8589,15.02,16.7
421,7.02259,0.718,6.006,1.8746,15.7,14.2
422,12.0482,0.614,5.648,1.9512,14.1,20.8
423,7.05042,0.614,6.103,2.0218,23.29,13.4
424,8.79212,0.584,5.565,2.0635,17.16,11.7
425,15.8603,0.679,5.896,1.9096,24.39,8.3
426,12.2472,0.584,5.837,1.9976,15.69,10.2
427,37.6619,0.679,6.202,1.8629,14.52,10.9
428,7.36711,0.679,6.193,1.9356,21.52,11.0
429,9.33889,0.679,6.38,1.9682,24.08,9.5
430,8.49213,0.584,6.348,2.0527,17.64,14.5
431,10.0623,0.584,6.833,2.0882,19.69,14.1
432,6.44405,0.584,6.425,2.2004,12.03,16.1
433,5.58107,0.713,6.436,2.3158,16.22,14.3
434,13.9134,0.713,6.208,2.2222,15.17,11.7
435,11.1604,0.74,6.629,2.1247,23.27,13.4
436,14.4208,0.74,6.461,2.0026,18.05,9.6
437,15.1772,0.74,6.152,1.9142,26.45,8.7
438,13.6781,0.74,5.935,1.8206,34.02,8.4
439,9.39063,0.74,5.627,1.8172,22.88,12.8
440,22.0511,0.74,5.818,1.8662,22.11,10.5
441,9.72418,0.74,6.406,2.0651,19.52,17.1
442,5.66637,0.74,6.219,2.0048,16.59,18.4
443,9.96654,0.74,6.485,1.9784,18.85,15.4
444,12.8023,0.74,5.854,1.8956,23.79,10.8
445,10.6718,0.74,6.459,1.9879,23.98,11.8
446,6.28807,0.74,6.341,2.072,17.79,14.9
447,9.92485,0.74,6.251,2.198,16.44,12.6
448,9.32909,0.713,6.185,2.2616,18.13,14.1
449,7.52601,0.713,6.417,2.185,19.31,13.0
450,6.71772,0.713,6.749,2.3236,17.44,13.4
451,5.44114,0.713,6.655,2.3552,17.73,15.2
452,5.09017,0.713,6.297,2.3682,17.27,16.1
453,8.24809,0.713,7.393,2.4527,16.74,17.8
454,9.51363,0.713,6.728,2.4961,18.71,14.9
455,4.75237,0.713,6.525,2.4358,18.13,14.1
456,4.66883,0.713,5.976,2.5806,19.01,12.7
457,8.20058,0.713,5.936,2.7792,16.94,13.5
458,7.75223,0.713,6.301,2.7831,16.23,14.9
459,6.80117,0.713,6.081,2.7175,14.7,20.0
460,4.81213,0.713,6.701,2.5975,16.42,16.4
461,3.69311,0.713,6.376,2.5671,14.65,17.7
462,6.65492,0.713,6.317,2.7344,13.99,19.5
463,5.82115,0.713,6.513,2.8016,10.29,20.2
464,7.83932,0.655,6.209,2.9634,13.22,21.4
465,3.1636,0.655,5.759,3.0665,14.13,19.9
466,3.77498,0.655,5.952,2.8715,17.15,19.0
467,4.42228,0.584,6.003,2.5403,21.32,19.1
468,15.5757,0.58,5.926,2.9084,18.13,19.1
469,13.0751,0.58,5.713,2.8237,14.76,20.1
470,4.34879,0.58,6.167,3.0334,16.29,19.9
471,4.03841,0.532,6.229,3.0993,12.87,19.6
472,3.56868,0.58,6.437,2.8965,14.36,23.2
473,4.64689,0.614,6.98,2.5329,11.66,29.8
474,8.05579,0.584,5.427,2.4298,18.14,13.8
475,6.39312,0.584,6.162,2.206,24.1,13.3
476,4.87141,0.614,6.484,2.3053,18.68,16.7
477,15.0234,0.614,5.304,2.1007,24.91,12.0
478,10.233,0.614,6.185,2.1705,18.03,14.6
479,14.3337,0.614,6.229,1.9512,13.11,21.4
480,5.82401,0.532,6.242,3.4242,10.74,23.0
481,5.70818,0.532,6.75,3.3317,7.74,23.7
482,5.73116,0.532,7.061,3.4106,7.01,25.0
483,2.81838,0.532,5.762,4.0983,10.42,21.8
484,2.37857,0.583,5.871,3.724,13.34,20.6
485,3.67367,0.583,6.312,3.9917,10.58,21.2
486,5.69175,0.583,6.114,3.5459,14.98,19.1
487,4.83567,0.583,5.905,3.1523,11.45,20.6
488,0.15086,0.609,5.454,1.8209,18.06,15.2
489,0.18337,0.609,5.414,1.7554,23.97,7.0
490,0.20746,0.609,5.093,1.8226,29.68,8.1
491,0.10574,0.609,5.983,1.8681,18.07,13.6
492,0.11132,0.609,5.983,2.1099,13.35,20.1
493,0.17331,0.585,5.707,2.3817,12.01,21.8
494,0.27957,0.585,5.926,2.3817,13.59,24.5
495,0.17899,0.585,5.67,2.7986,17.6,23.1
496,0.2896,0.585,5.39,2.7986,21.14,19.7
497,0.26838,0.585,5.794,2.8927,14.1,18.3
498,0.23912,0.585,6.019,2.4091,12.92,21.2
499,0.17783,0.585,5.569,2.3999,15.1,17.5
